backray pix_x= 800; pix_y= 480; viewmat= [0.885722, 0.184677, -0.425899, 0.000000, -0.233545, 0.970170, -0.065009, 0.000000, 0.401189, 0.157047, 0.902432, 0.000000, -0.378750, -1.815881, 3.213168, 1.000000]; ray_dir= [0.000000, -0.032001, 1.000000]
contrib= 256, alpha= 0.055946, omega=0.000163, r= 0.964467, x= 0.249846, y= 0.003119, z= 0.085849, dL_dr= -0.000057, dL_dx= -0.000102, dL_dy= 0.000021, dL_dz= 0.000001, dL_dopa= -0.000503, dep= 3.759566
contrib= 249, alpha= 0.235283, omega=0.000895, r= 0.944387, x= 0.289115, y= 0.146273, z= -0.056121, dL_dr= -0.000361, dL_dx= -0.000433, dL_dy= 0.000304, dL_dz= 0.000182, dL_dopa= -0.000604, dep= 3.752007
contrib= 232, alpha= 0.474875, omega=0.003442, r= 0.915532, x= 0.372580, y= 0.148320, z= 0.031415, dL_dr= -0.001786, dL_dx= -0.000703, dL_dy= 0.001609, dL_dz= 0.000708, dL_dopa= -0.000855, dep= 3.733157
contrib= 229, alpha= 0.230942, omega=0.002176, r= 0.944736, x= 0.272273, y= 0.182170, z= -0.012506, dL_dr= -0.000826, dL_dx= -0.001160, dL_dy= 0.001096, dL_dz= 0.000550, dL_dopa= -0.000299, dep= 3.789609
contrib= 224, alpha= 0.112696, omega=0.001197, r= 0.892341, x= 0.435246, y= 0.103541, z= -0.059726, dL_dr= -0.000725, dL_dx= 0.000010, dL_dy= 0.000254, dL_dz= 0.000171, dL_dopa= -0.000838, dep= 3.779886
contrib= 219, alpha= 0.006194, omega=0.000066, r= 0.950654, x= 0.234394, y= 0.201142, z= -0.029293, dL_dr= -0.000022, dL_dx= -0.000043, dL_dy= 0.000035, dL_dz= 0.000018, dL_dopa= 0.000109, dep= 3.819112
contrib= 218, alpha= 0.019194, omega=0.000209, r= 0.940157, x= 0.255233, y= 0.199666, z= 0.105331, dL_dr= -0.000074, dL_dx= -0.000120, dL_dy= 0.000150, dL_dz= 0.000058, dL_dopa= 0.000408, dep= 3.740670
contrib= 211, alpha= 0.008195, omega=0.000090, r= 0.914199, x= 0.148750, y= -0.356182, z= 0.123481, dL_dr= -0.000019, dL_dx= -0.000076, dL_dy= -0.000077, dL_dz= -0.000045, dL_dopa= 0.001707, dep= 3.740350
contrib= 203, alpha= 0.043043, omega=0.000494, r= 0.902799, x= 0.390933, y= 0.001039, z= 0.179233, dL_dr= -0.000269, dL_dx= -0.000066, dL_dy= 0.000124, dL_dz= 0.000000, dL_dopa= -0.000939, dep= 3.773734
contrib= 202, alpha= 0.210060, omega=0.003053, r= 0.842066, x= 0.438766, y= 0.103407, z= 0.296170, dL_dr= -0.001865, dL_dx= 0.000267, dL_dy= 0.002159, dL_dz= 0.000436, dL_dopa= 0.000190, dep= 3.814379
contrib= 198, alpha= 0.021762, omega=0.000323, r= 0.913194, x= 0.355490, y= 0.184221, z= -0.075938, dL_dr= -0.000160, dL_dx= -0.000081, dL_dy= 0.000136, dL_dz= 0.000083, dL_dopa= -0.000754, dep= 3.746027
contrib= 192, alpha= 0.007657, omega=0.000115, r= 0.890899, x= 0.381987, y= 0.242668, z= -0.038683, dL_dr= -0.000061, dL_dx= -0.000016, dL_dy= 0.000073, dL_dz= 0.000039, dL_dopa= -0.000020, dep= 3.745354
contrib= 191, alpha= 0.005364, omega=0.000081, r= 0.930416, x= 0.288955, y= 0.215074, z= 0.067633, dL_dr= -0.000033, dL_dx= -0.000038, dL_dy= 0.000057, dL_dz= 0.000024, dL_dopa= 0.000356, dep= 3.739414
contrib= 189, alpha= 0.061340, omega=0.000984, r= 0.867369, x= 0.285184, y= 0.404218, z= 0.054300, dL_dr= -0.000391, dL_dx= -0.000382, dL_dy= 0.001214, dL_dz= 0.000553, dL_dopa= 0.003664, dep= 3.752518
contrib= 179, alpha= 0.018520, omega=0.000303, r= 0.872448, x= 0.437414, y= 0.208722, z= -0.062756, dL_dr= -0.000184, dL_dx= 0.000013, dL_dy= 0.000154, dL_dz= 0.000088, dL_dopa= -0.000569, dep= 3.744088
contrib= 177, alpha= 0.037656, omega=0.000639, r= 0.963152, x= 0.213660, y= 0.135519, z= -0.091225, dL_dr= -0.000190, dL_dx= -0.000465, dL_dy= 0.000166, dL_dz= 0.000120, dL_dopa= -0.000572, dep= 3.792193
contrib= 175, alpha= 0.006150, omega=0.000105, r= 0.893641, x= 0.291238, y= 0.338453, z= 0.045122, dL_dr= -0.000043, dL_dx= -0.000043, dL_dy= 0.000109, dL_dz= 0.000049, dL_dopa= 0.002120, dep= 3.763030
contrib= 173, alpha= 0.004969, omega=0.000085, r= 0.923393, x= 0.350878, y= 0.154277, z= -0.020698, dL_dr= -0.000042, dL_dx= -0.000024, dL_dy= 0.000035, dL_dz= 0.000018, dL_dopa= -0.001133, dep= 3.749200
